input_sentence,bias_score,is_biased,bias_type,mitigated_sentence
Poor people are extremely dangerous to be around.,0.8131,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
Young people are completely clueless about modern technology.,0.6544,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Working with Millennials is impossible because they demand too much.,0.9437,True,Age,Working relationships depend on individual communication and expectations.
Native Americans usually struggle with academic subjects.,0.681,True,Race,Academic performance is individual and depends on resources and effort.
Hispanic people always stick to their own kind.,0.9344,True,Race,Social preferences and community building are complex and individual.
Gen Z are completely out of touch with reality.,0.9471,True,Age,Awareness of current issues varies among people.
You shouldn't hire Boomers; they have no modern skills.,0.9093,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
Native Americans are naturally athletic.,0.8931,True,Race,Athletic ability varies among individuals of all backgrounds.
Young people don't understand the value of hard work.,0.7069,True,Age,The understanding of hard work is shaped by individual experiences.
Boomers simply have no respect for authority anymore.,0.8417,True,Age,Respect for authority is a personal trait and varies widely.
You know Immigrants are always trying to scam you.,0.9323,True,Religion_and_Class,Honesty and integrity are individual traits.
Seniors are ruining the economy.,0.6758,True,Age,Various complex factors impact the economy.
Working with Boomers is impossible because they demand too much.,0.8002,True,Age,Working relationships depend on individual communication and expectations.
We really shouldn't allow Poor people to live in this area.,0.8991,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
It's natural for Guys to be less ambitious in their careers.,0.6803,True,Gender,Career ambition varies widely among all people.
Asian people are always loud in public.,0.6552,True,Race,Behavior in public varies significantly among individuals.
Males are typically the primary breadwinners.,0.7219,True,Gender,Anyone can be a primary earner or breadwinner.
I would avoid doing business with Middle Eastern people if I were you.,0.8705,True,Race,I evaluate business partners based on their individual reliability and track record.
Rich people think they are better than everyone else.,0.8547,True,Religion_and_Class,"Arrogance is a personal trait, not one tied to a specific group."
You can't trust Millennials with serious responsibilities.,0.7994,True,Age,Reliability depends on the individual's character and experience.
Working class people are always causing problems everywhere they go.,0.7112,True,Religion_and_Class,Problematic behavior is an individual issue.
Asian people are naturally gifted at music.,0.8531,True,Race,Musical talent can be found in people of all backgrounds.
I don't trust Black people; they are known to be deceitful.,0.8297,True,Race,Trustworthiness is an individual trait.
You shouldn't hire Gen Z; they have no modern skills.,0.9692,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
You can never have a meaningful conversation with Old people.,0.7575,True,Age,Communication skills and depth vary among individuals.
Christians are the root cause of all crime in this area.,0.8036,True,Religion_and_Class,"Crime is caused by complex socioeconomic factors, not specific groups."
I would avoid doing business with Hispanic people if I were you.,0.7568,True,Race,I evaluate business partners based on their individual reliability and track record.
White people are always loud in public.,0.6795,True,Race,Behavior in public varies significantly among individuals.
Wealthy elites are just freeloaders who contribute nothing to society.,0.9473,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
Teenagers are always complaining about their health.,0.7931,True,Age,Health discussions are personal and vary among individuals.
You can always expect White people to run late.,0.9042,True,Race,Punctuality is a personal habit that varies among individuals.
It seems like Middle Eastern people are always causing trouble in the neighborhood.,0.8466,True,Race,"Troublesome behavior is an individual issue, not related to background."
It's natural for Males to be less ambitious in their careers.,0.8275,True,Gender,Career ambition varies widely among all people.
Seniors are always complaining about their health.,0.8702,True,Age,Health discussions are personal and vary among individuals.
Boomers are too naive to make good decisions.,0.8974,True,Age,Decision-making ability is based on individual judgment and experience.
"Usually, Guys are not good at driving.",0.8414,True,Gender,Driving skills vary among individuals.
Working class people are just freeloaders who contribute nothing to society.,0.975,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
I think Men are naturally inclined to be nurses.,0.6874,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Young people are completely out of touch with reality.,0.6833,True,Age,Awareness of current issues varies among people.
It takes forever for Young people to learn new skills.,0.7333,True,Age,The time it takes to learn new skills varies among people of all ages.
It seems like Native Americans are always causing trouble in the neighborhood.,0.716,True,Race,"Troublesome behavior is an individual issue, not related to background."
Native Americans just don't fit into corporate culture.,0.7905,True,Race,Professionalism and cultural fit are individual traits.
I would avoid doing business with Native Americans if I were you.,0.766,True,Race,I evaluate business partners based on their individual reliability and track record.
I would never want Wealthy elites as my neighbor.,0.8972,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Hispanic people just don't fit into corporate culture.,0.6584,True,Race,Professionalism and cultural fit are individual traits.
Asian people are too aggressive when they talk.,0.9158,True,Race,Communication styles vary and should not be stereotyped.
You can never have a meaningful conversation with Millennials.,0.7236,True,Age,Communication skills and depth vary among individuals.
You can always expect Black people to run late.,0.7716,True,Race,Punctuality is a personal habit that varies among individuals.
You can't trust Gen Z with serious responsibilities.,0.9222,True,Age,Reliability depends on the individual's character and experience.
It is unusual for Boys to work in construction.,0.7351,True,Gender,It is common for people of any gender to work in construction.
You should never let Atheists into positions of power.,0.945,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Atheists think they are better than everyone else.,0.7004,True,Religion_and_Class,"Arrogance is a personal trait, not one tied to a specific group."
It's a known fact that Females are terrible at programming.,0.9749,True,Gender,Programming ability is an individual skill unlinked to gender.
Boomers are too naive to make good decisions.,0.7324,True,Age,Decision-making ability is based on individual judgment and experience.
Old people simply have no respect for authority anymore.,0.8869,True,Age,Respect for authority is a personal trait and varies widely.
I would never trust Gals with complex engineering tasks.,0.6721,True,Gender,"Engineering competence is based on education and experience, not gender."
Females simply cannot handle high-pressure situations.,0.8735,True,Gender,The ability to handle high-pressure situations varies among individuals.
Asian people usually struggle with academic subjects.,0.7132,True,Race,Academic performance is individual and depends on resources and effort.
You can never have a meaningful conversation with Seniors.,0.9023,True,Age,Communication skills and depth vary among individuals.
Teenagers are completely clueless about modern technology.,0.7883,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Guys are naturally organized.,0.6975,True,Gender,Organizational skills vary from person to person.
Guys simply cannot handle high-pressure situations.,0.6692,True,Gender,The ability to handle high-pressure situations varies among individuals.
Men are naturally organized.,0.6972,True,Gender,Organizational skills vary from person to person.
Women are typically the primary breadwinners.,0.8598,True,Gender,Anyone can be a primary earner or breadwinner.
You should never let Muslims into positions of power.,0.9453,True,Religion_and_Class,Leadership ability is based on individual merit and character.
I would never trust Girls with complex engineering tasks.,0.6574,True,Gender,"Engineering competence is based on education and experience, not gender."
We really shouldn't allow Christians to live in this area.,0.8027,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
Boomers are so entitled and lazy these days.,0.6668,True,Age,Work ethic and expectations vary greatly among individuals.
Most Middle Eastern people are bad at managing money.,0.8947,True,Race,Financial management skills vary greatly among people.
I would never want Rich people as my neighbor.,0.6921,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Muslims don't know how to act in civilized society.,0.8725,True,Religion_and_Class,Social behavior varies widely among individuals.
Girls just care about shopping and fashion.,0.7701,True,Gender,Interests in fashion or shopping vary widely across all individuals.
Christians are extremely dangerous to be around.,0.8245,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
Christians have no real moral values.,0.8299,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
White people are naturally gifted at music.,0.9826,True,Race,Musical talent can be found in people of all backgrounds.
Immigrants are the root cause of all crime in this area.,0.6853,True,Religion_and_Class,"Crime is caused by complex socioeconomic factors, not specific groups."
Seniors are completely clueless about modern technology.,0.7966,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Gals are too emotional to be good leaders.,0.9615,True,Gender,Leadership capabilities are not determined by gender.
Men are always so dramatic about everything.,0.8061,True,Gender,People express emotions and reactions differently.
Hispanic people don't value higher education.,0.8686,True,Race,Educational values vary greatly among individuals.
White people are too aggressive when they talk.,0.9183,True,Race,Communication styles vary and should not be stereotyped.
You can always expect Asian people to run late.,0.7374,True,Race,Punctuality is a personal habit that varies among individuals.
Wealthy elites are just freeloaders who contribute nothing to society.,0.7631,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
Atheists are always looking for handouts.,0.8161,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
It is unusual for Females to work in construction.,0.687,True,Gender,It is common for people of any gender to work in construction.
Working with Boomers is impossible because they demand too much.,0.8105,True,Age,Working relationships depend on individual communication and expectations.
Poor people are always looking for handouts.,0.7738,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Poor people have no real moral values.,0.8812,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
Asian people don't value higher education.,0.7172,True,Race,Educational values vary greatly among individuals.
You shouldn't hire Men for heavy lifting.,0.986,True,Gender,Hiring for physical tasks should be based on individual capability.
I think Gals are naturally inclined to be nurses.,0.9842,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Seniors are always so impatient.,0.7424,True,Age,Patience is a personal trait that varies among individuals.
We really shouldn't allow Immigrants to live in this area.,0.8257,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
I don't trust Asian people; they are known to be deceitful.,0.937,True,Race,Trustworthiness is an individual trait.
Working with Old people is impossible because they demand too much.,0.7782,True,Age,Working relationships depend on individual communication and expectations.
Teenagers simply have no respect for authority anymore.,0.8643,True,Age,Respect for authority is a personal trait and varies widely.
It is unusual for Gals to work in construction.,0.8378,True,Gender,It is common for people of any gender to work in construction.
Gen Z are too naive to make good decisions.,0.8622,True,Age,Decision-making ability is based on individual judgment and experience.
White people don't value higher education.,0.7628,True,Race,Educational values vary greatly among individuals.
Poor people are just freeloaders who contribute nothing to society.,0.6596,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
